x_axis,mean_cumulated_mixed_spectral_ucrl_regret,lower_bound_mixed,upper_bound_mixed,mean_cumulated_seeu_regret,lower_bound_seeu,upper_bound_seeu,mean_cumulated_smucrl_regret,lower_bound_smucrl,upper_bound_smucrl
1.24,0.7326933333334206,0.7901007591929795,0.6752859074738616,0.9410666666666296,1.0526714503570664,0.8294618829761928,1.1035466666665354,1.220374064645523,0.9867192686875478
1.26,0.7380133333334253,0.7947880532012046,0.6812386134656461,0.9502999999999518,1.062449516891296,0.8381504831086076,1.117593333333174,1.238945000424391,0.9962416662419571
1.28,0.7430133333334292,0.7987760686991231,0.6872505979677354,0.9615133333332744,1.073905401106654,0.8491212655598948,1.1326999999998146,1.2581762794759317,1.0072237205236976
1.3,0.7489600000000998,0.8046197158233672,0.6933002841768324,0.9710466666665974,1.0846210889754637,0.8574722443577312,1.1471933333331252,1.2776855397138567,1.0167011269523938
1.32,0.7539066666667704,0.8104262819561721,0.6973870513773688,0.9823799999999202,1.0967014808377669,0.8680585191620735,1.1619066666664366,1.2967885118706832,1.02702482146219
1.34,0.7587533333334407,0.8153074034214008,0.7021992632454808,0.9926733333332431,1.108472735764922,0.8768739309015642,1.1753333333330835,1.3148803868658092,1.0357862798003579
1.36,0.7628600000001114,0.8191848116590594,0.7065351883411635,1.0023066666665648,1.118801350338523,0.8858119829946063,1.1875666666663982,1.3318054972008468,1.0433278361319498
1.38,0.7674266666667803,0.8231913258848337,0.7116620074487267,1.011119999999888,1.1282395721228191,0.8940004278769569,1.2007466666663789,1.3492291958402092,1.0522641374925483
1.4,0.7703266666667796,0.8261793328010086,0.7144740005325505,1.019959999999875,1.1374535047807306,0.9024664952190197,1.211873333333027,1.3647544611518183,1.0589922055142353
1.42,0.7766866666667774,0.8326243255446966,0.7207490077888584,1.0307799999998586,1.1493480955803141,0.912211904419403,1.2262733333330067,1.3837346904745997,1.0688119761914134
1.44,0.7818400000001083,0.8377379132241586,0.725942086776058,1.041439999999843,1.160034986241315,0.9228450137583708,1.2390533333329894,1.4010228407460157,1.0770838259199633
1.46,0.7871800000001068,0.8426929255978608,0.7316670744023529,1.0521599999998275,1.1715480539308887,0.9327719460687662,1.253526666666321,1.418904492673545,1.088148840659097
1.48,0.7893133333334388,0.8469544559057304,0.7316722107611474,1.0613399999998097,1.1834131195368283,0.9392668804627913,1.265979999999654,1.435663806434608,1.0962961935647
1.5,0.7968533333334378,0.8557317870235914,0.7379748796432841,1.071813333333126,1.1950121852915951,0.9486144813746569,1.2802066666663243,1.455011584782983,1.1054017485496654
1.52,0.8032000000001022,0.8627415844406034,0.743658415559601,1.084086666666444,1.2075061831186236,0.9606671502142641,1.2932533333329912,1.4715106676062317,1.1149959990597504
1.54,0.8071800000000974,0.8675556716541781,0.7468043283460165,1.0940799999997588,1.2176811694009972,0.9704788305985205,1.306233333332992,1.48802203417021,1.124444632495774
1.56,0.8126333333334262,0.873511357133198,0.7517553095336545,1.1140399999997421,1.2381460990433295,0.9899339009561549,1.3196133333329931,1.5061753899312194,1.1330512767347671
1.58,0.817840000000089,0.8798187394455077,0.7558612605546705,1.1352733333330547,1.2596193098846775,1.0109273567814319,1.3334599999996575,1.5241648773831193,1.1427551226161956
1.6,0.8226600000000852,0.8849833381610164,0.7603366618391539,1.1574466666663672,1.2812222843531806,1.0336710489795535,1.351273333332987,1.544797954202295,1.1577487124636787
1.62,0.8264733333334141,0.8895902707347978,0.7633563959320306,1.1791399999996803,1.3025911963649228,1.0556888036344378,1.3697266666663162,1.5644015939991014,1.175051739333531
1.64,0.8310933333334036,0.8962834765866935,0.7659031900801139,1.2003733333329922,1.3243719619108365,1.076374704755148,1.3849799999996424,1.583328345299897,1.1866316546993878
